City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Port Alfred,ZA,288.25,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
4,Torbay,CA,286.35,few clouds,47.6666,-52.7314,Gallows Cove
8,Jamestown,US,286.92,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
14,Uyuni,BO,285.16,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
17,Laguna,US,288.75,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
20,Ushuaia,AR,281.96,light intensity drizzle,-54.8,-68.3,Albatross Hotel
21,Lebork,PL,286.78,broken clouds,54.5392,17.7501,Vega
28,Rio Grande,BR,287.21,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
36,Lebu,CL,287.5,clear sky,-37.6167,-73.65,Hostal Las Lilas
42,Mataura,NZ,280.35,scattered clouds,-46.1927,168.8643,Ellie's Villa
43,Vila,PT,285.21,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
48,Punta Arenas,CL,282.21,broken clouds,-53.15,-70.9167,Hotel Hain
51,Busselton,AU,283.41,clear sky,-33.65,115.3333,Observatory Guest House
53,Yining,CN,286.91,clear sky,29.0361,114.5636,Xiushui Hotel
55,Hobart,AU,283.85,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
57,Havre-Saint-Pierre,CA,281.35,clear sky,50.2334,-63.5986,Auberge Niapiskau
58,Tuatapere,NZ,281.52,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
59,Ahipara,NZ,287.34,few clouds,-35.1667,173.1667,Ahipara Holiday Park
63,Saint George,US,280.48,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
65,Coquimbo,CL,289.0,few clouds,-29.9533,-71.3436,Hotel San Juan
66,Half Moon Bay,US,286.02,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
67,Jumla,NP,283.51,broken clouds,29.2747,82.1838,Royal Garden Hotel
74,Esperance,AU,287.28,overcast clouds,-33.8667,121.9,Hospitality Esperance
77,New Norfolk,AU,283.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
82,Albany,US,286.65,overcast clouds,42.6001,-73.9662,
83,Xingyi,CN,282.75,clear sky,24.1877,102.817,
88,Bluff,NZ,282.89,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
93,Hasaki,JP,286.05,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
102,Mar Del Plata,AR,285.9,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
104,Kuna,US,282.47,haze,43.4918,-116.4201,Winfield Springs
106,Port Lincoln,AU,283.61,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
111,Rio Gallegos,AR,283.18,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
112,Grindavik,IS,281.12,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
116,East London,ZA,289.67,scattered clouds,-33.0153,27.9116,Tu Casa
117,Pacific Grove,US,284.21,overcast clouds,36.6177,-121.9166,Lovers Point Inn
120,Puga,MX,286.19,fog,21.5833,-104.8167,Del sol
123,Coihaique,CL,283.49,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
131,Saint-Augustin,CA,282.66,broken clouds,51.226,-58.6502,Riverview Inn
132,Pisco,PE,289.27,mist,-13.7,-76.2167,Hotel San Isidro Oficial
134,Roma,US,286.94,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
136,East Wenatchee Bench,US,284.8,overcast clouds,47.4257,-120.2812,Coast Wenatchee Center Hotel
137,Ancud,CL,284.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
139,Nemuro,JP,282.4,few clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
150,Brora,GB,289.85,overcast clouds,58.0099,-3.8518,"Royal Marine Hotel, Brora"
151,Zhovtneve,UA,284.16,clear sky,50.6637,24.2492,
155,Necochea,AR,284.37,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
166,Weatherford,US,288.97,overcast clouds,32.7593,-97.7972,Woodland Suites
172,Lagoa,PT,289.64,broken clouds,39.05,-27.9833,Casa Das Faias
174,Cidreira,BR,289.52,overcast clouds,-30.1811,-50.2056,Hotel Castelo
178,Chuy,UY,287.95,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
179,Hokitika,NZ,283.6,scattered clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
180,Vestmannaeyjar,IS,280.7,mist,63.4427,-20.2734,Glamping & Camping
181,Mansehra,PK,288.85,scattered clouds,34.3333,73.2,Aashiana Hotel Manshera
184,Geraldton,AU,288.38,clear sky,-28.7667,114.6,Broadwater Mariner Resort
186,Te Anau,NZ,281.22,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
187,Klaksvik,FO,284.66,overcast clouds,62.2266,-6.589,Airbnb rooms
189,Pingliang,CN,282.32,clear sky,35.5392,106.6861,North Gate Hostel
191,Bethel,US,288.72,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
198,Broome,US,286.73,clear sky,42.2506,-75.833,Chenango Valley State Park
199,Kaitangata,NZ,281.35,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
203,Roald,NO,287.22,broken clouds,62.5833,6.1333,Flem Cabins
208,Brightwater,NZ,282.63,few clouds,-41.3833,173.1167,Marama Vineyard & Accomodation
213,Comodoro Rivadavia,AR,288.07,clear sky,-45.8667,-67.5,Austral Hotel
215,Foz Do Iguacu,BR,289.59,overcast clouds,-25.5478,-54.5881,Turrance Green Hotel
220,Tigre,AR,289.41,scattered clouds,-34.426,-58.5796,Puerto Delta Apartamentos
224,Ucluelet,CA,282.64,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
235,Ryotsu,JP,287.77,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
236,Port-Cartier,CA,283.01,scattered clouds,50.0334,-66.8654,Le Q'Artier
239,Xuanzhou,CN,289.08,clear sky,30.9525,118.7553,Nanfang Hotel
246,Huaihua,CN,288.18,clear sky,27.5494,109.9592,怀化天庆大酒店
247,Bridlington,GB,287.75,broken clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
254,Bluefield,US,287.47,overcast clouds,37.2698,-81.2223,Economy Inn
260,Aqtobe,KZ,282.2,overcast clouds,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
262,Del Rio,US,288.28,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
264,Minot,US,281.27,clear sky,48.2325,-101.2963,Noble Inn
273,Corner Brook,CA,286.24,few clouds,48.9667,-57.9484,Glynmill Inn
274,Mayo,US,289.95,moderate rain,38.8876,-76.5119,Resorts Resource Group International
277,Lopatyn,UA,283.85,clear sky,50.2202,24.8483,
284,Karlshamn,SE,287.42,broken clouds,56.1706,14.8619,Port Hotel AB
288,Bud,US,289.18,light rain,39.447,-86.1758,Ted McQuinn Trust
289,Hofn,IS,282.16,light rain,64.2539,-15.2082,Hótel Höfn
299,Goksun,TR,286.42,broken clouds,38.021,36.4973,Prof. Dr. Mehmet Saglam Ogretmenevi
303,Yulara,AU,286.59,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
304,Rosendal,NO,287.33,few clouds,59.9867,6.0135,Rosendal Turisthotell AS
307,Chute-Aux-Outardes,CA,283.14,clear sky,49.1168,-68.399,Camp St-Paul Gite Plein-Air
312,Asau,RO,289.66,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
313,Zhanaozen,KZ,287.93,light rain,43.3,52.8,Әлібек негрдің үйі
326,Saint Stephen,GB,288.3,broken clouds,50.3333,-4.9,4 stepaside corner
337,Shimoda,JP,287.65,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
343,Emba,KZ,281.18,light rain,48.8264,58.1442,
344,Kirksville,US,284.03,clear sky,40.1948,-92.5833,Budget Host-Village Inn
350,Lamar,US,288.35,clear sky,33.6668,-95.5836,Kings Inn Paris TX
351,Sept-Iles,CA,283.18,few clouds,50.2001,-66.3821,Comfort Inn
353,Ogulin,HR,289.6,clear sky,45.2661,15.2286,Hotel Frankopan
354,Meadow Lake,US,285.09,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
355,Rocha,UY,286.58,broken clouds,-34.4833,-54.3333,Hotel Arrarte
361,Anderson,US,288.1,mist,34.5334,-82.6499,The Bleckley Inn
365,Margate,GB,289.99,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
371,Da Lat,VN,287.22,overcast clouds,11.9465,108.4419,YK Home Villa Dalat
372,Hammelburg,DE,289.82,overcast clouds,50.1167,9.9,Kaisers Weinland Hotel
374,Monticello,US,283.7,clear sky,45.3055,-93.7941,Super 8 by Wyndham Monticello
378,Santa Cruz,BO,289.18,thunderstorm with light rain,-17.8,-63.1667,Aviador Hotel Boutique
385,Monroe,US,287.75,overcast clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
389,Olafsvik,IS,280.05,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
398,Nynashamn,SE,285.46,scattered clouds,58.9034,17.9479,Nynäs Havsbad
401,Owosso,US,286.82,mist,42.9978,-84.1766,Comstock Inn and Conference Center
404,Sayyan,YE,289.68,few clouds,15.1718,44.3244,متنزه و بحيرة سيان
406,Humenne,SK,285.97,clear sky,48.9371,21.9163,Hotel Alibaba
407,Sao Francisco De Assis,BR,282.47,light rain,-29.5503,-55.1311,Hotel Aguiar
408,Wanaka,NZ,283.77,few clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
409,Kaeo,NZ,286.66,few clouds,-35.1,173.7833,Bushido Lodge
410,Broken Hill,AU,283.88,broken clouds,-31.95,141.4333,Royal Exchange Hotel
411,Kruisfontein,ZA,289.2,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
413,Hooksett,US,289.47,scattered clouds,43.0967,-71.4651,Twin Oaks Campground
422,Urbana,US,287.32,light rain,40.1106,-88.2073,Hilton Garden Inn Champaign/ Urbana
433,Christchurch,NZ,283.68,clear sky,-43.5333,172.6333,The George
444,Laurel,US,289.23,light rain,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
447,South Yuba City,US,287.7,clear sky,39.1166,-121.6391,Bonanza Inn & Suites Yuba City
451,Greenfield,US,285.16,mist,42.9614,-88.0126,Brewtown Eatery Bar & Grill
456,Cape Girardeau,US,289.15,overcast clouds,37.3834,-89.7168,Independence Park Mobile Home Court
459,Rapid Valley,US,283.36,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
470,Hamilton,US,289.95,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
471,Fortuna,US,281.44,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
474,Adrian,US,289.12,mist,41.8975,-84.0372,"Holiday Inn Express Adrian, an IHG Hotel"
476,Shinuhayr,AM,283.1,clear sky,39.4367,46.3179,Wings of Tatev Guesthouse
481,San Jose,US,286.18,mist,37.3394,-121.895,The Westin San Jose
488,Zarubino,RU,284.35,overcast clouds,42.63,131.0922,Okean
497,Lata,PT,289.77,overcast clouds,40.1629,-8.3327,Casa Maquia
504,Duluth,US,283.82,clear sky,46.7833,-92.1066,South Pier Inn
506,Portland,US,286.47,light rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
507,Concordia,AR,287.19,broken clouds,-31.393,-58.0209,Palmar Hotel Casino
512,Maldonado,UY,286.81,broken clouds,-34.6667,-54.9167,La Cimarrona
518,Raudeberg,NO,285.35,broken clouds,61.9875,5.1352,Nordre Silda.
520,Pecos,US,282.61,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
521,Warragul,AU,282.65,moderate rain,-38.1667,145.9333,Comfort Inn & Suites Warragul
522,Rivera,UY,288.29,overcast clouds,-30.9053,-55.5508,Emirates Hotel e Suítes
531,Simao,CN,288.67,broken clouds,22.7886,100.9748,Changyu Hotel
534,Nelson,NZ,283.36,scattered clouds,-41.2833,173.2833,Tides Hotel
539,Brae,GB,285.43,broken clouds,60.3964,-1.353,Busta House Hotel
548,Pervomayskoye,RU,287.06,overcast clouds,43.919,46.7102,
549,Visnes,NO,286.94,broken clouds,59.3556,5.2242,Park Inn Haugesund Airport
554,Shiyan,CN,288.24,clear sky,32.6475,110.7781,Fenghuang Garden Holiday Hotel
556,Nantucket,US,289.23,scattered clouds,41.2835,-70.0995,Jared Coffin House
566,Itape,PY,285.75,overcast clouds,-25.85,-56.6167,Flia. Quiñonez (Óga Guasu)
573,Ruidoso,US,282.52,overcast clouds,33.3317,-105.673,Inn of the Mountain Gods
574,Lhanbryde,GB,289.0,broken clouds,57.6167,-3.2167,The Barley Mill
576,Eureka,US,281.59,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
579,Wuwei,CN,282.37,few clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
591,Katsuura,JP,289.38,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
598,Sturgeon Falls,CA,283.09,overcast clouds,46.3646,-79.9326,Lincoln Motel
606,Pasinler,TR,284.7,clear sky,39.9803,41.6764,Pasinler Öğretmenevi
608,Eregli,TR,287.87,scattered clouds,37.5133,34.0467,Hotel Fuat Bey
615,Komsomolskiy,UZ,283.55,mist,40.4272,71.7189,Ikathouse
618,Montgomery Village,US,288.18,light rain,39.1768,-77.1953,"Holiday Inn Gaithersburg, an IHG Hotel"
634,Wajima,JP,289.82,broken clouds,37.4,136.9,Wajiima Onsen Yashio
638,Socorro,US,287.65,broken clouds,31.6546,-106.3033,guarderia imss papalote
642,Chicama,PE,289.45,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
647,San Lorenzo,PY,286.81,overcast clouds,-25.3333,-57.5333,Canarias Hotel
655,Lishui,CN,289.67,overcast clouds,28.4604,119.9103,Bayi Hotel
656,Ziro,IN,282.57,clear sky,27.6333,93.8333,Ka-ngam homestay
